"train/epoch","czert_lr2e-05_bs4_train287 - _step","czert_lr2e-05_bs4_train287 - _step__MIN","czert_lr2e-05_bs4_train287 - _step__MAX","czert_lr2e-05_bs4_train287 - eval/f1","czert_lr2e-05_bs4_train287 - eval/f1__MIN","czert_lr2e-05_bs4_train287 - eval/f1__MAX"
"1","0","0","0","0.8245152022983002","0.8245152022983002","0.8245152022983002"
"2","1","1","1","0.8890999762526716","0.8890999762526716","0.8890999762526716"
"3","2","2","2","0.9085095917363502","0.9085095917363502","0.9085095917363502"
"4","3","3","3","0.9233734939759036","0.9233734939759036","0.9233734939759036"
"5","4","4","4","0.9246012566457226","0.9246012566457226","0.9246012566457226"
"6","5","5","5","0.9277049975739932","0.9277049975739932","0.9277049975739932"
"7","7","7","7","0.9304579597770778","0.9304579597770778","0.9304579597770778"
"8","9","8","10","0.9297307548275102","0.9258705895874038","0.9335909200676166"
