"train/epoch","czert_lr2e-05_bs4_train287_cl_size3 - _step","czert_lr2e-05_bs4_train287_cl_size3 - _step__MIN","czert_lr2e-05_bs4_train287_cl_size3 - _step__MAX","czert_lr2e-05_bs4_train287_cl_size3 - eval/f1","czert_lr2e-05_bs4_train287_cl_size3 - eval/f1__MIN","czert_lr2e-05_bs4_train287_cl_size3 - eval/f1__MAX","czert_lr2e-05_bs4_train287_cl_size2 - _step","czert_lr2e-05_bs4_train287_cl_size2 - _step__MIN","czert_lr2e-05_bs4_train287_cl_size2 - _step__MAX","czert_lr2e-05_bs4_train287_cl_size2 - eval/f1","czert_lr2e-05_bs4_train287_cl_size2 - eval/f1__MIN","czert_lr2e-05_bs4_train287_cl_size2 - eval/f1__MAX","czert_lr2e-05_bs4_train287_cl_size1 - _step","czert_lr2e-05_bs4_train287_cl_size1 - _step__MIN","czert_lr2e-05_bs4_train287_cl_size1 - _step__MAX","czert_lr2e-05_bs4_train287_cl_size1 - eval/f1","czert_lr2e-05_bs4_train287_cl_size1 - eval/f1__MIN","czert_lr2e-05_bs4_train287_cl_size1 - eval/f1__MAX"
"1","0","0","0","0.41678657074340525","0.41678657074340525","0.41678657074340525","0","0","0","0.7368171021377671","0.7368171021377671","0.7368171021377671","0","0","0","0.8406633020908436","0.8406633020908436","0.8406633020908436"
"2","1","1","1","0.8060489678348537","0.8060489678348537","0.8060489678348537","1","1","1","0.8763132760267431","0.8763132760267431","0.8763132760267431","1","1","1","0.894990366088632","0.894990366088632","0.894990366088632"
"3","2","2","2","0.8814796787539547","0.8814796787539547","0.8814796787539547","2","2","2","0.8952752070141257","0.8952752070141257","0.8952752070141257","2","2","2","0.905982905982906","0.905982905982906","0.905982905982906"
"4","3","3","3","0.9006016847172081","0.9006016847172081","0.9006016847172081","3","3","3","0.9110576923076923","0.9110576923076923","0.9110576923076923","3","3","3","0.9236363636363636","0.9236363636363636","0.9236363636363636"
"5","4","4","4","0.9146164978292329","0.9146164978292329","0.9146164978292329","4","4","4","0.923300266150496","0.923300266150496","0.923300266150496","4","4","4","0.924047561271536","0.924047561271536","0.924047561271536"
"6","5","5","5","0.9195625759416767","0.9195625759416767","0.9195625759416767","5","5","5","0.9184756391702846","0.9184756391702846","0.9184756391702846","5","5","5","0.9218523878437048","0.9218523878437048","0.9218523878437048"
"7","","","","","","","7","7","7","0.9249088699878494","0.9249088699878494","0.9249088699878494","8","7","9","0.9202239411522082","0.9177449168207023","0.922702965483714"
"8","","","","","","","9","8","10","0.9208272568636239","0.9160147261849977","0.9256397875422501","","","","","",""
