"train/epoch","czert_lr2e-05_bs4_train287_label_subtokens_True - _step","czert_lr2e-05_bs4_train287_label_subtokens_True - _step__MIN","czert_lr2e-05_bs4_train287_label_subtokens_True - _step__MAX","czert_lr2e-05_bs4_train287_label_subtokens_True - eval/f1","czert_lr2e-05_bs4_train287_label_subtokens_True - eval/f1__MIN","czert_lr2e-05_bs4_train287_label_subtokens_True - eval/f1__MAX","czert_lr2e-05_bs4_train287_label_subtokens_False - _step","czert_lr2e-05_bs4_train287_label_subtokens_False - _step__MIN","czert_lr2e-05_bs4_train287_label_subtokens_False - _step__MAX","czert_lr2e-05_bs4_train287_label_subtokens_False - eval/f1","czert_lr2e-05_bs4_train287_label_subtokens_False - eval/f1__MIN","czert_lr2e-05_bs4_train287_label_subtokens_False - eval/f1__MAX"
"1","0","0","0","0.8134844988461923","0.8134844988461923","0.8134844988461923","0","0","0","0.8345393150024119","0.8345393150024119","0.8345393150024119"
"2","1","1","1","0.8786817713697219","0.8786817713697219","0.8786817713697219","1","1","1","0.8982473222979552","0.8982473222979552","0.8982473222979552"
"3","2","2","2","0.8962846677132391","0.8962846677132391","0.8962846677132391","2","2","2","0.9071760960078374","0.9071760960078374","0.9071760960078374"
"4","3","3","3","0.9137214137214137","0.9137214137214137","0.9137214137214137","3","3","3","0.9250545719136551","0.9250545719136551","0.9250545719136551"
"5","4","4","4","0.9170802315963607","0.9170802315963607","0.9170802315963607","4","4","4","0.9221001221001222","0.9221001221001222","0.9221001221001222"
"6","5","5","5","0.9241922120961061","0.9241922120961061","0.9241922120961061","5","5","5","0.926805622879302","0.926805622879302","0.926805622879302"
"7","7","7","7","0.9258604554434854","0.9258604554434854","0.9258604554434854","7","7","7","0.9260247392675237","0.9260247392675237","0.9260247392675237"
"8","9","8","10","0.92253866350038","0.9198861718034053","0.9251911551973548","9","8","10","0.9241123283425001","0.9226128321150946","0.9256118245699055"
